code_insee,commune,dep,PMUN,dans_MEL,rga_pct_faible,rga_pct_moyen,rga_pct_fort,rga_pct_moyen_fort,rga_alea_dominant
59002,Abscon,59,4203,False,42.2,0.0,53.9,53.9,fort
59004,Aix-en-Pévèle,59,1358,False,40.8,0.0,35.6,35.6,faible
59005,Allennes-les-Marais,59,3567,True,78.4,0.0,0.0,0.0,faible
59008,Aniche,59,9997,False,10.5,0.0,83.7,83.7,fort
59011,Annœullin,59,10780,True,95.9,0.0,0.0,0.0,faible
59013,Anstaing,59,1601,True,100.0,0.0,0.0,0.0,faible
59014,Anzin,59,13422,False,96.4,0.0,0.0,0.0,faible
59015,Arleux,59,3151,False,67.1,0.0,11.7,11.7,faible
59017,Armentières,59,25581,True,55.5,29.4,14.5,43.9,faible
59018,Arnèke,59,1561,False,4.1,78.0,16.5,94.5,moyen
59019,Artres,59,1064,False,98.2,0.0,0.0,0.0,faible
59022,Attiches,59,2238,False,1.2,0.0,45.0,45.0,nul
59024,Auberchicourt,59,4626,False,61.5,0.0,25.8,25.8,faible
59025,Aubers,59,1722,True,0.0,97.5,2.5,100.0,moyen
59026,Aubigny-au-Bac,59,1159,False,49.3,0.0,0.5,0.5,nul
59027,Aubry-du-Hainaut,59,1726,False,98.1,0.0,0.0,0.0,faible
59028,Auby,59,7188,False,74.9,0.0,20.8,20.8,faible
59029,Auchy-lez-Orchies,59,1486,False,1.3,0.0,30.7,30.7,nul
59032,Aulnoy-lez-Valenciennes,59,7183,False,95.5,0.0,0.0,0.0,faible
59034,Avelin,59,2600,False,31.1,0.0,22.9,22.9,nul
59038,Avesnes-le-Sec,59,1447,False,84.5,0.0,0.0,0.0,faible
59042,Bachy,59,1883,False,10.7,0.0,30.3,30.3,nul
59043,Bailleul,59,14869,False,4.5,91.9,2.7,94.6,moyen
59044,Baisieux,59,5177,True,68.3,3.9,21.3,25.2,faible
59052,Bauvin,59,4999,True,75.1,0.0,0.0,0.0,faible
59054,Bavinchove,59,1046,False,4.3,54.0,41.3,95.3,moyen
59064,Bellaing,59,1329,False,99.3,0.0,0.0,0.0,faible
59071,Bersée,59,2296,False,4.5,0.0,48.1,48.1,fort
59079,Beuvrages,59,6784,False,100.0,0.0,0.0,0.0,faible
59080,Beuvry-la-Forêt,59,2834,False,77.4,0.0,2.7,2.7,faible
59082,Bierne,59,1772,False,0.0,100.0,0.0,100.0,moyen
59084,Blaringhem,59,2043,False,28.5,37.8,21.9,59.7,moyen
59086,Boeschepe,59,2179,False,8.9,21.1,53.3,74.4,fort
59088,Bois-Grenier,59,1793,True,0.0,100.0,0.0,100.0,moyen
59089,Bollezeele,59,1423,False,5.5,60.6,30.1,90.7,moyen
59090,Bondues,59,9713,True,2.0,97.9,0.1,98.0,moyen
59094,Bourbourg,59,7023,False,0.0,100.0,0.0,100.0,moyen
59096,Bourghelles,59,1673,False,73.0,0.0,7.6,7.6,faible
59098,Bousbecque,59,4847,True,12.6,85.3,1.9,87.2,moyen
59105,Bouvignies,59,1548,False,75.6,0.0,0.0,0.0,faible
59112,Bruay-sur-l'Escaut,59,11309,False,77.2,0.0,0.0,0.0,faible
59114,Bruille-Saint-Amand,59,1682,False,32.1,0.0,1.8,1.8,nul
59113,Bruille-lez-Marchiennes,59,1350,False,66.4,0.0,29.4,29.4,faible
59117,Bugnicourt,59,1074,False,27.2,0.0,35.9,35.9,nul
59122,Cambrai,59,31425,False,80.4,0.0,0.0,0.0,faible
59123,Camphin-en-Carembault,59,1714,False,49.6,0.7,49.7,50.4,fort
59124,Camphin-en-Pévèle,59,2501,False,99.3,0.0,0.0,0.0,faible
59126,Cantin,59,1770,False,53.2,0.0,32.5,32.5,faible
59128,Capinghem,59,2474,True,0.0,100.0,0.0,100.0,moyen
59129,Cappelle-en-Pévèle,59,2262,False,2.7,0.0,76.5,76.5,fort
59133,Carnin,59,1076,True,85.4,0.5,4.0,4.5,faible
59135,Cassel,59,2227,False,3.9,32.0,43.4,75.4,fort
59120,Caëstre,59,2006,False,4.2,89.2,5.5,94.7,moyen
59146,Chéreng,59,3001,True,92.5,0.0,7.5,7.5,faible
59152,Comines,59,12671,True,7.9,91.6,0.1,91.7,moyen
59153,Condé-sur-l'Escaut,59,9396,False,84.8,0.0,0.0,0.0,faible
59155,Coudekerque-Branche,59,20765,False,0.0,100.0,0.0,100.0,moyen
59156,Courchelettes,59,2881,False,68.5,0.2,18.4,18.6,faible
59158,Coutiches,59,3246,False,18.6,0.0,30.7,30.7,nul
59163,Croix,59,20778,True,13.1,86.9,0.0,86.9,moyen
59165,Cuincy,59,6472,False,78.1,0.0,18.2,18.2,faible
59166,Curgies,59,1347,False,100.0,0.0,0.0,0.0,faible
59168,Cysoing,59,4722,False,95.0,0.0,1.3,1.3,faible
